toxin,numEstimators,score
micro,1,0.0587677788478822
ana,1,-0.004210525047847691
cylindro,1,0.0334887906159973
micro,2,0.09202117761525441
ana,2,0.02089154003820226
cylindro,2,0.07064665084883603
micro,4,0.16977727534683618
ana,4,0.048246539841071856
cylindro,4,0.1241975059110848
micro,6,0.20421252373968235
ana,6,0.07190381596203077
cylindro,6,0.1934554901268225
micro,8,0.20416586596639152
ana,8,0.0960565673072804
cylindro,8,0.23621214847349858
micro,10,0.2181977677546888
ana,10,0.12261505026137587
cylindro,10,0.2461043156991195
micro,50,0.16145248743176466
ana,50,0.2062875130401589
cylindro,50,0.3097675841011639
micro,100,0.05137910719696581
ana,100,0.2222634604325202
cylindro,100,0.2874415907675707
micro,200,-0.0005551882912762096
ana,200,0.20790886225352556
cylindro,200,0.2523487620119651
micro,300,-0.07169110111979893
ana,300,0.19775526879434469
cylindro,300,0.2363347592353151
micro,500,-0.08984849013426666
ana,500,0.2113276292400882
cylindro,500,0.265397880442942
